"name","act1k","dist_line_m","lat","lon"
"lots of apts","81016","1121","32.9395","-96.8133"
"baylor n","61657","1825","32.7925","-96.78"
"med","34717","4108","32.9135","-96.7726"
"apts","21775","4055","32.9095","-96.7177"
"lots of apts","19896","1748","32.936","-96.761"
"Point 70","19862","1457","32.9845","-96.7485"
"might as well","19470","2106","32.7079","-97.1319"
"people and a mall","13984","4947","33.0007","-96.9758"
"Point 74","13153","1499","32.9416","-96.8895"
"Point 72","12837","1243","33.0077","-96.8377"
"apts","12808","3701","32.8556","-96.6495"
"apt","12316","1019","32.8831","-96.6209"
"Point 78","11881","7604","33.0227","-96.9933"
"college and apts","11830","3698","32.9152","-96.7348"
"people","11817","4613","32.9951","-96.9912"
"aopd","11631","3302","32.9123","-96.68"
"Point 68","10783","1549","32.9783","-96.7681"
"Business Park S","10308","1100","32.7327","-97.0486"
"Point 58","10281","1115","32.852","-97.0695"
"Point 63","9521","1768","32.7886","-96.7707"
"jobs","7821","1641","32.7225","-97.0242"
"Point 78","7137","1330","32.6917","-96.8271"
"Link it up","6582","3666","32.7173","-96.8744"
